行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
西屯區,臺中市西屯區天水西六街１０號,一層,公寓(5樓含以下無電梯),住家用,3,2,1,有,16000,,續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區文心路二段５６６之１２號１８樓之１,十八層,住宅大樓(11層含以上有電梯),住家用,1,1,1,無,20000,,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
大雅區,臺中市大雅區文化路永嘉巷１７號,全,透天厝,住家用,2,2,1,有,10000,,,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
霧峰區,臺中市霧峰區民生路３９１巷２７號,一層,華廈(10層含以下有電梯),集合住宅,1,0,1,有,6000,,續租案件；,獨立套房,有,有,冷氣、熱水器、電視機、冰箱
烏日區,臺中市烏日區健行南路７號６樓之１,六層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,無,19900,坡道平面,含B1層機車位一個。,,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
霧峰區,臺中市霧峰區民生路３９１巷２７號四樓,四層,華廈(10層含以下有電梯),集合住宅,1,0,1,有,6000,,,獨立套房,有,有,冷氣、熱水器、電視機、冰箱
大里區,臺中市大里區祥興路５１９號十二樓之８,十二層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,25000,坡道平面,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
烏日區,臺中市烏日區高鐵路二段１３６號十五樓之１７,十五層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,21500,,台中市政府包租代管計畫，管理費2000元由出租人負擔。續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
烏日區,臺中市烏日區公園路７７號十五樓之１,十五層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,25000,坡道平面,多人共同承租2；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
大里區,臺中市大里區東南路１６１巷４９號,全,透天厝,住家用,3,2,1,無,17000,,,整棟(戶)出租,無,無,熱水器
太平區,臺中市太平區中山路一段２９７巷２２號,全,透天厝,住宅、停車空間、樓梯間,39,0,39,有,8800,,多人共同承租2；,分租套房,無,有,冷氣、熱水器、洗衣機、冰箱
龍井區,臺中市龍井區新興路２２巷２弄２３號５樓之１,五層,華廈(10層含以下有電梯),集合住宅,1,1,1,有,19000,,機車停車位1個租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
龍井區,臺中市龍井區新興路２９之１８號,一層,公寓(5樓含以下無電梯),住家用,1,0,1,有,6250,,住宅及都市更新中心辦理社會住宅包租代管計畫。 管理費250元由出租人負擔續租案件；,獨立套房,有,無,冷氣、熱水器、洗衣機、電視機、冰箱
南區,臺中市南區美村路２段１６２號１４樓,十四層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,15000,,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西區,臺中市西區民生路１３５號１１樓之５,十一層,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,8000,,社會住宅包租代管公會版41期909,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西區,臺中市西區精誠路１３２巷１６號四樓之１,四層,公寓(5樓含以下無電梯),住家用,2,2,1,有,13000,,此為台中市政府社會住宅包租代管計畫。,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西區,臺中市西區美村路一段８０６號１０樓之６,十層,住宅大樓(11層含以上有電梯),住家用,3,1,2,有,11800,,租金總額含管理費；網路費；其他公區使用、清潔服務、垃圾代收、水電修繕；租賃建物部分範圍，且未計入共有部分面積；,分租套房,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路
南區,臺中市南區信義南街８１巷１號１５樓之３,十五層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,19000,,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
西區,臺中市西區日興街１００-３號６樓,六層,華廈(10層含以下有電梯),集合住宅,1,1,1,有,8400,,社會住宅管理費400元、水電瓦斯另由承租人負擔,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
西區,臺中市西區健行路９６４巷３２號３樓之１,三層,華廈(10層含以下有電梯),住家用,1,1,1,有,12000,,,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路
西區,臺中市西區篤行路１６２巷３７號４樓之３,四層,華廈(10層含以下有電梯),住家用,1,0,1,有,6700,,社會住宅包租代管公會版41期43-1續租案件；,獨立套房,無,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
東區,臺中市東區東光園路１６１號,全,透天厝,住商用,4,2,3,無,15000,,,分層出租,無,無,
南區,臺中市南區公理街３６號十四樓之８,十四層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,21500,,多人共同承租3；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北屯區,臺中市北屯區文心路四段２８８號六樓之１０,六層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,18000,,,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北屯區,臺中市北屯區文心路四段２８８號十三樓之１７,十三層,住宅大樓(11層含以上有電梯),住家用,2,2,2,有,23285,坡道平面,續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
